Time  <B  Du Df Db Dr Dl Gu Gf Gb Gr Gl>		Action		Score
72    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	26
73    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	25
74    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	24
75    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	23
76    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	22
77    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	21
78    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	20
79    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	19
80    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	18
81    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	17
82    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	16
83    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	15
84    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	14
85    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	13
86    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	12
87    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	11
88    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	10
89    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	9
90    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	8
91    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	7
92    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Move Forward	6
93    [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]			Move Forward	5
94    [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Right	4
95    [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Vacuum		101
96    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]			Turn Left	-900
